gene,mean_expr_AKI,mean_expr_CKD,mean_expr_Normal
MT-ND4,77.18757629394531,88.46688842773438,130.32644653320312
MT-ND3,103.71326446533203,143.7605438232422,302.71478271484375
SPP1,25.88916778564453,9.095434188842773,6.065105438232422
MT-CO1,142.42030334472656,162.05227661132812,285.21484375
WFDC2,19.903995513916016,11.105254173278809,4.239482402801514
MT-ND2,30.72597885131836,46.31369400024414,89.66464233398438
MT-ATP6,77.46446990966797,82.4195556640625,152.14207458496094
RPS4Y1,1.3431471586227417,0.23728227615356445,0.7335655093193054
MALAT1,83.48450469970703,103.96549987792969,192.4926300048828
MT-ND1,21.591577529907227,33.82694625854492,71.49889373779297
MT-CO2,120.37696075439453,129.67996215820312,273.3481140136719
MT-CO3,87.03321838378906,105.56676483154297,194.65525817871094
RPS4X,8.554763793945312,9.215862274169922,12.479232788085938
MT-ND4L,14.80945110321045,27.081497192382812,30.45948028564453
RACK1,4.118882656097412,2.6699600219726562,2.871535301208496
SERF2,9.08459186553955,7.140101432800293,10.730432510375977
MT-ND5,11.926849365234375,19.11261558532715,27.902130126953125
MT-CYB,40.270530700683594,51.043148040771484,112.76699829101562
RPS29,4.589141368865967,4.655799865722656,7.220759868621826
DEFB1,16.982019424438477,23.813962936401367,62.01716613769531
GSTP1,7.543292999267578,5.007958889007568,5.962945461273193
TXNIP,1.9532500505447388,2.9807920455932617,4.058708667755127
RPL37,6.0334577560424805,5.789659023284912,8.984585762023926
IFITM3,2.5576093196868896,1.656539797782898,1.8779951333999634
RPS19,11.134676933288574,8.272287368774414,10.122032165527344
GPX4,3.2201640605926514,3.0514209270477295,4.325990200042725
RPL15,6.602786064147949,5.612281322479248,8.22030258178711
RPS26,6.867936611175537,6.192540168762207,7.1424031257629395
RPL35,6.462791442871094,5.517368793487549,7.879293918609619
RPL37A,3.009495496749878,3.0783185958862305,5.829477310180664
MT-ATP8,1.4775139093399048,2.3521742820739746,4.296467304229736
RPS18,15.14023494720459,12.543841361999512,16.97649574279785
RPS27,11.66283130645752,11.571684837341309,15.789054870605469
SERPING1,1.0815391540527344,0.6811448335647583,0.5059157609939575
MTRNR2L12,0.9725123643875122,0.8110227584838867,0.6311519742012024
RPS14,8.60888385772705,8.130847930908203,11.437986373901367
HLA-B,3.405897855758667,3.3167991638183594,4.066101551055908
LDHB,3.925723075866699,3.7485737800598145,5.701390743255615
RPS28,12.938804626464844,12.077329635620117,18.58030891418457
MT1G,14.460762977600098,7.097938537597656,8.1751127243042
RPL41,21.959367752075195,21.062206268310547,31.043617248535156
RPLP0,2.997403383255005,2.3209011554718018,2.745074987411499
NEAT1,3.64609432220459,2.8012924194335938,4.305145740509033
FAU,7.129309177398682,6.486861705780029,9.728987693786621
DBI,2.7744712829589844,1.9904003143310547,2.749389171600342
RPL29,7.850199222564697,6.142374515533447,8.992923736572266
RPLP1,17.589303970336914,13.974654197692871,18.959569931030273
NDUFA4,5.953792572021484,6.103792667388916,10.012341499328613
PPIA,5.079985618591309,4.393077373504639,6.146432876586914
RPL10A,4.015873908996582,3.4909956455230713,5.080228328704834
ATP1B1,7.191951274871826,10.441704750061035,18.641822814941406
ITM2B,10.654867172241211,10.789213180541992,10.846717834472656
COX6A1,3.1316421031951904,2.8371241092681885,4.184359550476074
XIST,0.4077364206314087,1.244134783744812,1.320724368095398
IFITM2,1.313366413116455,0.8162623643875122,0.8714754581451416
PKM,2.20320200920105,1.7962117195129395,2.086045503616333
RPS7,6.483921051025391,5.519771099090576,8.255001068115234
RPS10,3.089236259460449,3.869375467300415,3.7835867404937744
ACTG1,4.910624027252197,4.130241394042969,9.742086410522461
PPIB,1.7806144952774048,1.4285997152328491,1.5239516496658325
ITGB6,0.9305562973022461,0.36307263374328613,0.14890705049037933
UBC,2.0705678462982178,2.1249427795410156,4.630310535430908
CD63,4.240200519561768,3.904360294342041,4.82548713684082
C4orf48,1.0450130701065063,0.7737318277359009,0.7064855098724365
RPL27A,2.8605780601501465,2.5847651958465576,4.048832893371582
NDUFS5,2.2619237899780273,2.268420934677124,3.5058929920196533
RPL21,5.269014835357666,5.045400619506836,7.2072529792785645
RPS25,6.318286895751953,5.797135829925537,8.898990631103516
FTL,25.314529418945312,17.976600646972656,34.31523132324219
RPS3,7.611198425292969,6.720485210418701,9.280450820922852
NACA,4.596180438995361,3.9851107597351074,6.496006011962891
ATP5ME,2.288649320602417,1.909382939338684,2.9734222888946533
RPS9,7.3740763664245605,6.539089679718018,8.936405181884766
HIF1A,0.8341268301010132,0.5045359134674072,0.5380003452301025
