gene,class,importance,variance,variance_rank,n_cells_used,importance_rank
RHOBTB3,Normal,0.034431774,2.4471317887437483,801,300,106
RPL10A,Normal,0.034384727,33.4534660363197,182,300,107
RBM3,Normal,0.034045465,1.308846443560641,1178,300,108
SLC25A6,Normal,0.033658426,9.796569377642584,380,300,109
ATP1A1,Normal,0.03343527,103.88951013544589,97,300,110
FTH1,Normal,0.03334773,720.9861956930721,27,300,111
DDX17,Normal,0.03331952,5.2665137865020615,517,300,112
GPX4,Normal,0.033071667,23.898731780742125,223,300,113
ACTB,Normal,0.032834295,192.19683241986317,65,300,114
SNX3,Normal,0.032719538,3.701456827230384,632,300,115
PTMS,Normal,0.03265563,4.621983457283132,558,300,116
B2M,Normal,0.03238547,607.982716502998,28,300,117
RPS3A,Normal,0.032349553,154.84591774264743,73,300,118
EGF,Normal,0.032256242,5.018233352969011,525,300,119
RPS15A,Normal,0.031936396,119.19744397424805,91,300,120
EIF1,Normal,0.031864468,90.15213524056628,106,300,121
WFDC2,Normal,0.03180023,1778.5943794824614,20,300,122
PEBP1,Normal,0.0316535,38.813454307484946,170,300,123
PTMA,Normal,0.031463202,145.47141478661,77,300,124
HNRNPA1,Normal,0.03142333,6.462873546303893,465,300,125
ATP5ME,Normal,0.031135518,20.476131966260063,246,300,126
S100A11,Normal,0.030417334,130.96670261940366,81,300,127
SLC12A1,Normal,0.03032853,241.75052462228015,56,300,128
DBI,Normal,0.030323181,18.682100441617575,257,300,129
S100A6,Normal,0.03020279,1516.1200436841198,21,300,130
RPL24,Normal,0.030103588,105.30135405356569,96,300,131
SEPP1,Normal,0.030099265,3.661605011329219,636,300,132
CD63,Normal,0.030064134,38.12166441563539,173,300,133
YBX1,Normal,0.03001366,7.09223403438501,445,300,134
GHITM,Normal,0.03000103,2.7119356237530963,751,300,135
DPEP1,Normal,0.029972121,2.4157653814163016,809,300,136
TOB1,Normal,0.029963674,1.8699934094046542,943,300,137
HSP90AB1,Normal,0.029912688,10.152411390773448,370,300,138
RPL9,Normal,0.029900277,53.92118111676273,143,300,139
RPS18,Normal,0.029783731,355.01365862768347,40,300,140
CD9,Normal,0.029742165,49.98560345310387,146,300,141
DHRS3,Normal,0.029654782,0.593618295059799,2018,300,142
ARG2,Normal,0.029522263,3.4411192665989776,653,300,143
COX6B1,Normal,0.029359328,39.942842003911466,167,300,144
RHOA,Normal,0.029034548,2.920658968689702,715,300,145
RPS9,Normal,0.028690144,79.21457372287585,115,300,146
CKB,Normal,0.028569918,35.008708516057936,178,300,147
PDZK1IP1,Normal,0.028527165,47.95093110480802,148,300,148
RPS28,Normal,0.02837734,296.54589775111333,47,300,149
APP,Normal,0.028029833,11.460123256818743,342,300,150
ATP6V0E1,Normal,0.027933944,20.23312272547286,248,300,151
MYL12B,Normal,0.027824774,23.466755883775885,228,300,152
NDUFB2,Normal,0.027763596,26.659575168754316,213,300,153
BTG1,Normal,0.027650503,3.0991944258230766,690,300,154
RPS6,Normal,0.027404152,95.74202209866125,104,300,155
NDUFS5,Normal,0.027371317,15.989725133383484,279,300,156
PFN1,Normal,0.027211545,27.362814952445518,208,300,157
CLU,Normal,0.027208818,116.18092827585983,92,300,158
CALR,Normal,0.027104773,5.956494571740702,482,300,159
JUND,Normal,0.02706094,29.393581386119394,199,300,160
SERF2,Normal,0.026939293,126.93977310068199,83,300,161
RPL35,Normal,0.026908897,63.01067410412386,136,300,162
PHPT1,Normal,0.026805,6.374946812228746,467,300,163
IFITM3,Normal,0.026664399,17.774303638124245,261,300,164
