latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
-0.46287867,1.8034923,0.43325573,-0.5857207,0.37526166,-1.8138205,0.60981905,1.3883334,-1.6062832,1.7863542,-1.3925079,-0.055501074,1.7881484,-0.9510527,-0.8656995,-0.14055635,1.948055,0.1965125,2.3252108,1.204779,1.461493,-0.4937799,0.7855205,-1.5529289,-1.6319015,-0.98078215,0.87260944,-0.8150697,-1.7980816,1.0310789,-0.14306146,-1.8919483,IC,AKI
-3.2142293,-2.5139713,-1.1859198,3.1996129,-3.134369,2.7515101,-0.5787549,-4.068446,2.0909626,3.9929185,-0.41681135,-1.3988732,-4.0015407,2.1689568,-4.146634,3.66504,3.4565291,-1.9534693,-2.6822176,3.692552,-4.0199647,0.7411583,-2.8804646,-2.79276,1.577268,-1.1185032,-4.2662907,2.0942042,-1.770751,-2.2820122,-1.5796095,-3.5129752,IC,Ref
-0.27080458,2.7771149,4.261636,1.6586375,1.3514144,-0.59210366,2.9027348,-2.5348833,-1.5317546,1.3708293,-2.6559188,3.6131668,3.2155566,-1.5202122,2.5313356,-0.38629255,-1.3159614,-1.4205376,-2.9683347,-1.840578,0.232564,2.2730489,-0.61515343,0.76820904,-2.764253,0.9829024,2.6115077,3.9013045,2.7642026,-1.0112765,2.7580504,-0.2749881,IC,CKD
-0.27194664,1.9547768,0.7081498,-0.5667905,0.37966505,-1.9914145,0.74025834,1.4219551,-1.7900653,1.9016528,-1.6085936,0.16683292,2.0356283,-1.1744678,-0.6794626,-0.250058,1.9458529,0.10958882,2.3381484,1.0060881,1.6063565,-0.47249466,0.87694913,-1.3851855,-1.8251003,-0.88491756,1.0502586,-0.7103181,-1.6679931,1.1303843,0.042410765,-2.0134525,IC,AKI
-1.4468286,2.7347624,2.4276252,-3.7619371,3.1287615,-5.6394587,0.49459782,4.116985,-4.1483827,-1.254926,-7.01966,-0.34926978,4.457342,-5.395663,-3.0531826,-2.846438,4.0937443,5.6280327,1.9210072,0.5495772,5.2480826,-5.0597014,0.6105014,0.93930274,-3.0193915,-0.6982544,2.7953653,-5.619907,-5.4921083,1.5658123,-3.7427256,-2.3231943,IC,AKI
-0.6676244,2.092094,3.0561547,1.4873539,1.0708623,-0.54898286,2.2518513,-2.1637232,-1.2572068,1.1631162,-1.9072887,3.0805044,2.1705208,-1.1839584,1.6481613,-0.31687042,-0.8242763,-0.72320926,-2.5976176,-1.4657444,-0.16936469,1.6697223,-0.5304327,0.34882092,-2.1084104,0.86437255,1.797713,3.2891428,1.8635876,-1.0208542,2.0695956,-0.04395001,IC,CKD
0.0066903937,2.7280324,1.4593205,-0.5896246,0.9630868,-2.2216244,1.3922479,1.0473442,-2.141758,1.5466925,-2.1165304,0.95919645,2.8981724,-1.6121114,0.09877458,-0.7076679,1.4848615,0.06961127,1.946928,0.4309865,1.8744801,-0.16509354,0.9585817,-0.7779673,-2.249992,-0.43526584,1.773788,-0.36318865,-0.83856064,1.3253524,0.554573,-1.4469166,IC,AKI
-0.37461293,1.775043,0.5156811,-0.6789777,0.15284958,-2.0557852,0.56619,1.607638,-1.9067098,2.0665777,-1.5750747,-0.034675978,1.7898383,-1.1472492,-0.87091964,-0.30544707,2.210376,0.093292095,2.6167514,1.0959734,1.7103578,-0.66422546,0.98451316,-1.5965427,-1.6493458,-0.98908293,0.7628744,-0.8347117,-2.0013947,1.2863271,-0.18807799,-2.380485,IC,AKI
-0.31371745,1.819071,0.90892357,-0.31335598,0.49488044,-1.6858468,0.8718288,0.9234407,-1.5524633,1.7173134,-1.4647057,0.4848128,1.9634107,-1.0333117,-0.43990684,-0.17549205,1.4957932,-0.056253843,1.6989367,0.7441682,1.2753636,-0.14170438,0.6900716,-1.0878638,-1.7730274,-0.64756155,1.0687021,-0.2150045,-1.2308187,0.86082876,0.30443358,-1.6851932,IC,AKI
-1.5748245,-1.8885478,-0.01595474,1.6876426,-1.3071909,1.9444467,0.28280333,-3.4694202,1.5913092,1.6726298,-1.7929137,-0.6253946,-2.6405182,1.6188906,-3.167178,2.4864159,2.4452043,-0.15591425,-3.176495,2.41396,-2.3164055,0.36287194,-2.7095008,-0.56308264,0.48249713,-0.6598653,-3.196506,0.8072367,-1.2436695,-1.5459901,-2.1883237,-1.9499067,IC,Ref
