cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
EC,PDLIM5,AKI,0.011115355,400,0.39452475,0.35926884,0.33299258,0.048394039273262024,0.048394039273262024,0.0005379169465929701
EC,OS9,AKI,0.013419521,400,0.2718515,0.2904113,0.33326545,-0.03998686373233795,0.03998686373233795,0.0005366045592282848
EC,EMC4,AKI,0.023492396,400,0.14979579,0.15215936,0.1929984,-0.02278309315443039,0.02278309315443039,0.0005352294437055427
EC,USP22,AKI,0.022714332,400,0.2566093,0.23240666,0.23371044,0.023550741374492645,0.023550741374492645,0.0005349393524468615
EC,TIA1,AKI,0.033052363,400,0.23383343,0.2187234,0.21659333,0.01617506891489029,0.01617506891489029,0.0005346242412636593
EC,H2AFV,AKI,0.0072999136,400,0.2969879,0.33844253,0.40157458,-0.07302066683769226,0.07302066683769226,0.0005330445559436486
EC,CAPN2,AKI,0.058991604,400,0.39886725,0.40841034,0.40736955,-0.009022697806358337,0.009022697806358337,0.0005322634119738767
EC,PRSS23,AKI,0.019951912,400,0.3525726,0.2343856,0.52409333,-0.026666872203350067,0.026666872203350067,0.0005320550780003458
EC,TBCD,AKI,0.012179334,400,0.20447598,0.17301935,0.14871946,0.043606579303741455,0.043606579303741455,0.0005310990815809991
EC,RBBP7,AKI,0.028612588,400,0.16491668,0.16295344,0.20398155,-0.0185508131980896,0.0185508131980896,0.0005307867676991318
EC,MTURN,AKI,0.021140896,400,0.122878544,0.14585988,0.15001498,-0.025058887898921967,0.025058887898921967,0.0005297673375315726
EC,MRPS21,AKI,0.011466915,400,0.4154085,0.41560096,0.50752896,-0.046156466007232666,0.046156466007232666,0.0005292722626150104
EC,C19orf66,AKI,0.048574954,400,0.17098449,0.09997428,0.22023901,0.01087784394621849,0.01087784394621849,0.0005283907722580805
EC,NCOR2,AKI,0.015988566,400,0.13697353,0.1505031,0.18944098,-0.03299850970506668,0.03299850970506668,0.0005275988497069339
EC,ITGA6,AKI,0.021420894,400,0.5076989,0.47612193,0.490073,0.02460142970085144,0.02460142970085144,0.0005269846225611219
EC,REST,AKI,0.045922734,400,0.17107898,0.16110775,0.15810291,0.011473648250102997,0.011473648250102997,0.0005269012948014296
EC,EBF1,AKI,0.00963106,400,0.20645238,0.25387567,0.2683451,-0.05465799570083618,0.05465799570083618,0.0005264144395638048
EC,MYDGF,AKI,0.010468614,400,0.21700184,0.19679573,0.13675967,0.05022414028644562,0.05022414028644562,0.0005257771525888494
EC,HSD17B12,AKI,0.009309814,400,0.22256501,0.25697654,0.3010923,-0.05646941065788269,0.05646941065788269,0.0005257197275083392
EC,OLFM3,AKI,0.01370342,400,0.0480375,0.062084395,0.11070379,-0.0383565928786993,0.0383565928786993,0.0005256164953472506
EC,RUNX1T1,AKI,0.03948243,400,0.2323961,0.29513636,0.19626795,-0.013306058943271637,0.013306058943271637,0.0005253555357952466
EC,CPNE8,AKI,0.018469097,400,0.1579167,0.16743924,0.20516577,-0.028385810554027557,0.028385810554027557,0.000524260291178677
EC,NDUFA5,AKI,0.0078372015,400,0.24941027,0.2813977,0.3510895,-0.06683333218097687,0.06683333218097687,0.0005237862891232931
EC,PDS5B,AKI,0.010770368,400,0.20301476,0.22753228,0.27559662,-0.04854968935251236,0.04854968935251236,0.0005228980395361946
EC,TRAK2,AKI,0.009690426,400,0.12687074,0.163293,0.19834751,-0.053949519991874695,0.053949519991874695,0.0005227938468640447
EC,NCOA4,AKI,0.017318701,400,0.22134152,0.25574657,0.24718818,-0.030125856399536133,0.030125856399536133,0.0005217407105457816
EC,C9orf16,AKI,0.018945454,400,0.41018444,0.39353362,0.4818465,-0.027505621314048767,0.027505621314048767,0.000521106474778793
EC,GLUL,AKI,0.023586655,400,0.9599996,0.81485474,1.1492554,-0.022055447101593018,0.022055447101593018,0.0005202142224415285
EC,AAK1,AKI,0.06056975,400,0.1940283,0.18554878,0.21968493,-0.008588552474975586,0.008588552474975586,0.0005202064615197344
