epoch,train_loss,train_recon_loss,train_cls_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_recon_loss,val_cls_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,2.259179144813901,0.886225155989329,0.9153026438894726,0.6160714285714286,0.6152232261751965,0.6152232261751965,1.864039876244285,0.7669018902361192,0.73142527811455,0.7037037037037037,0.7070844182905774,0.7070844182905776
2,1.5573490880784535,0.7800184124992007,0.5182204518999373,0.844047619047619,0.8443751652921385,0.8443751652921385,1.5140696623509982,0.8518959113243052,0.44144916323700334,0.8383838383838383,0.836180026747455,0.836180026747455
3,1.1143650826953706,0.7623601493381319,0.2346699595451355,0.9315476190476191,0.9317635963681794,0.9317635963681794,1.2286633883261118,0.7675461307519212,0.30741150496583997,0.8855218855218855,0.8845787133999795,0.8845787133999795
4,0.9216018302100045,0.7405574804260617,0.12069624094736009,0.9589285714285715,0.9590442697803082,0.9590442697803082,1.2378920930804629,0.7395200462453695,0.332248027627717,0.8888888888888888,0.888481291269259,0.8884812912692589
5,0.8328507888884772,0.7339734304518927,0.06591823789335433,0.9779761904761904,0.977974508386882,0.977974508386882,1.7237193600497263,0.7510756175927441,0.6484291714048546,0.8417508417508418,0.8423971396107618,0.8423971396107618
6,0.807745589528765,0.7268724089577084,0.053915453595774515,0.9845238095238096,0.9845119374677712,0.9845119374677711,1.8229665358861287,0.7518818428620746,0.7140564448905714,0.8518518518518519,0.8549617063097753,0.8549617063097753
7,0.8100732099442255,0.7226260230654762,0.058298121933780964,0.9791666666666666,0.9792025926934737,0.9792025926934735,1.4630483288556237,0.7169194606819538,0.4974192269522734,0.8888888888888888,0.8906375845891975,0.8906375845891975
8,0.8144879045940581,0.713813152767363,0.06711650050821759,0.9791666666666666,0.979175432802503,0.9791754328025031,1.464398762192389,0.7168324589729309,0.49837755123372834,0.8451178451178452,0.8427648941207696,0.8427648941207696
9,0.7843352431342715,0.7195200800895691,0.04321010872012093,0.9839285714285714,0.9839349176993082,0.9839349176993083,2.244222301826734,0.716222138517232,1.0186667440314887,0.7744107744107744,0.7721437500206788,0.7721437500206788
10,0.7994421096075148,0.713612307253338,0.05721986918222337,0.9785714285714285,0.9785868014462414,0.9785868014462415,1.4759107767933546,0.7261297295390556,0.49985402140151775,0.8619528619528619,0.8634245611857553,0.8634245611857552
11,0.7883692105611165,0.70815650281452,0.053475133719898406,0.9821428571428571,0.9821343157526469,0.9821343157526469,1.5105794270833333,0.7062654990941186,0.5362092921830187,0.8451178451178452,0.8454692168466519,0.845469216846652
12,0.7606219865026929,0.7065157776787168,0.03607081125179926,0.9886904761904762,0.9886930921864571,0.988693092186457,1.4335813249401774,0.7033789587341976,0.48680158295615356,0.8787878787878788,0.8790893241718799,0.8790893241718798
13,0.7955703383400327,0.7044630215281532,0.060738210521993186,0.9779761904761904,0.9780038334063152,0.9780038334063151,1.5544838495928832,0.7156146381439183,0.5592461395946015,0.8585858585858586,0.8602554496206151,0.8602554496206151
14,0.7641318888891311,0.7003308483532497,0.042534029199963526,0.986904761904762,0.9869184147392224,0.9869184147392224,1.498827121073148,0.708834054694834,0.5266620243839945,0.8720538720538721,0.8723378798755683,0.8723378798755683
