cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
PC,MT-ATP8,AKI,0.032463048,400,1.7515161,2.3515265,4.532426,-1.6904600858688354,1.6904600858688354,0.054877486323792635
PC,IER2,AKI,0.016443424,400,1.2356628,1.973004,7.1709723,-3.3363253474235535,3.3363253474235535,0.054860612045514845
PC,KRT18,AKI,0.01697808,400,2.8959177,3.3826396,8.535115,-3.0629597902297974,3.0629597902297974,0.05200317468020477
PC,H3F3B,AKI,0.012941985,400,2.929445,4.1296186,9.633841,-3.952284574508667,3.952284574508667,0.0511504092246835
PC,RPS14,AKI,0.009949169,400,7.332922,9.69986,15.13457,-5.084292888641357,5.084292888641357,0.050584489813261246
PC,WNK1,AKI,0.04479097,400,0.7302984,1.2637663,2.4405596,-1.1218645572662354,1.1218645572662354,0.05024939982018495
PC,RPS3,AKI,0.011172875,400,5.9347496,8.146909,12.198539,-4.237974166870117,4.237974166870117,0.047350354902023994
PC,CA2,AKI,0.015338543,400,3.0967824,4.032308,7.798311,-2.8185272216796875,2.8185272216796875,0.04323210062331384
PC,RPS9,AKI,0.011611883,400,5.83106,7.9258766,11.114024,-3.6888904571533203,3.6888904571533203,0.04283496290242539
PC,ST6GAL1,AKI,0.029329421,400,1.7556841,2.2014375,4.2132797,-1.451674461364746,1.451674461364746,0.04257677143041683
PC,RPL37A,AKI,0.018492652,400,2.3019636,3.069716,6.1029305,-2.2843596935272217,2.2843596935272217,0.04224386909121103
PC,TMSB4X,AKI,0.0049899933,400,16.621117,23.331314,26.649477,-8.369278907775879,8.369278907775879,0.04176264561569498
PC,GPX4,AKI,0.018947281,400,2.8372235,3.5551243,6.241241,-2.0609591007232666,2.0609591007232666,0.03904957109424778
PC,JUNB,AKI,0.011104281,400,1.0700651,1.6920358,7.4121017,-3.482003629207611,3.482003629207611,0.03866514695204587
PC,RPL22,AKI,0.016077632,400,3.55185,4.4898396,7.4200993,-2.4031193256378174,2.4031193256378174,0.038636468372729826
PC,PRDX1,AKI,0.017224424,400,4.130844,5.890466,6.8410826,-2.2349302768707275,2.2349302768707275,0.03849538577695277
PC,TXNIP,AKI,0.030181952,400,2.653175,4.209265,3.610175,-1.2565449476242065,1.2565449476242065,0.037924979069926756
PC,FXYD4,AKI,0.0027874587,400,34.434074,39.319885,56.53918,-13.495458602905273,13.495458602905273,0.03761803363313909
PC,RPS15,AKI,0.009242742,400,7.8765693,9.235558,14.482844,-3.9826316833496094,3.9826316833496094,0.03681043841416809
PC,RPS12,AKI,0.0061377753,400,12.41387,14.881084,21.92168,-5.987512588500977,5.987512588500977,0.03675000661805328
PC,RPL38,AKI,0.020466235,400,2.105784,2.8231857,4.9670525,-1.7893351316452026,1.7893351316452026,0.036620952465928
PC,S100A11,AKI,0.015838033,400,10.841392,12.493553,13.753454,-2.2821121215820312,2.2821121215820312,0.03614416615191374
PC,AQP2,AKI,0.0026842623,400,31.859545,34.54884,55.997166,-13.413457870483398,13.413457870483398,0.036005239922769494
PC,RPL27A,AKI,0.024395406,400,1.6785508,2.2874277,4.021004,-1.4756650924682617,1.4756650924682617,0.035999449414077844
PC,RPS28,AKI,0.0068528787,400,10.202364,11.694882,18.954762,-5.122457981109619,5.122457981109619,0.035103583309711306
PC,NDUFS5,AKI,0.019478383,400,2.7009625,3.3983676,5.5712028,-1.7838226556777954,1.7838226556777954,0.03474598007567953
PC,HLA-DRB1,AKI,0.03234382,400,2.0766833,1.3866708,0.6422593,1.0622182190418243,1.0622182190418243,0.03435619459850736
PC,TMA7,AKI,0.012264374,400,3.7279992,4.339759,8.718608,-2.8011841773986816,2.8011841773986816,0.03435476958843564
PC,TMEM176B,AKI,0.03340875,400,1.3981122,2.6756208,2.1478517,-1.0136240720748901,1.0136240720748901,0.03386391306447356
PC,MGST3,AKI,0.019122178,400,4.692067,5.450097,7.441298,-1.7536303997039795,1.7536303997039795,0.03353323218458781
PC,HLA-DRB5,AKI,0.06577921,400,0.6742066,0.16529845,0.1676654,0.5077246874570847,0.5077246874570847,0.03339772840023869
PC,RPL10A,AKI,0.013635128,400,3.1062648,4.5683365,6.507213,-2.4315099716186523,2.4315099716186523,0.033153949222573864
PC,ATP5ME,AKI,0.018219816,400,1.8843634,2.4732046,4.9308853,-1.8176815509796143,1.8176815509796143,0.03311782261863394
PC,UQCRH,AKI,0.015286458,400,4.1607065,4.063752,8.545408,-2.143873691558838,2.143873691558838,0.032772234553473556
PC,CTSD,AKI,0.038510904,400,5.8959017,5.220855,4.8716836,0.8496322631835938,0.8496322631835938,0.03272010628154476
PC,PPDPF,AKI,0.011075269,400,4.7841663,6.4757314,8.863904,-2.8856513500213623,2.8856513500213623,0.031959366185057014
PC,IER3,AKI,0.008365177,400,0.8320134,0.72637653,8.4906845,-3.77651709318161,3.77651709318161,0.03159123248573481
PC,HINT1,AKI,0.020143297,400,4.282369,4.6584334,7.0223885,-1.5580418109893799,1.5580418109893799,0.03138409826657362
PC,RPL26,AKI,0.006614295,400,7.273507,9.730833,14.286851,-4.735334873199463,4.735334873199463,0.03132090099112306
PC,MYL6,AKI,0.008457066,400,6.166683,7.886219,11.744388,-3.648620128631592,3.648620128631592,0.03085661963109443
PC,ATP1B3,AKI,0.012861352,400,0.59798306,0.64922106,5.28503,-2.3691424131393433,2.3691424131393433,0.030470375494085378
PC,LTF,AKI,0.026276791,400,1.3618447,0.3784893,0.03385224,1.155673896893859,1.155673896893859,0.030367401993994427
PC,IFITM3,AKI,0.054090384,400,2.1907685,1.7346336,1.5297469,0.5585782527923584,0.5585782527923584,0.030213712407628712
PC,S100A10,AKI,0.0141476095,400,3.259916,4.431327,6.330626,-2.121060371398926,2.121060371398926,0.030007933801670106
PC,RPL36,AKI,0.007113898,400,7.254345,8.5469055,14.373367,-4.205791473388672,4.205791473388672,0.029919572278451767
PC,PNP,AKI,0.01666442,400,0.8040651,1.0096954,4.1444297,-1.7729974389076233,1.7729974389076233,0.029545972780926855
PC,STAT1,AKI,0.044760607,400,1.4348047,1.0593792,0.4921246,0.659052774310112,0.659052774310112,0.02949960234374782
PC,POLR2L,AKI,0.01902245,400,2.42629,2.7750354,5.136997,-1.529726266860962,1.529726266860962,0.02909914119717527
PC,RPS21,AKI,0.012766991,400,4.168698,5.6118684,7.2753983,-2.274935483932495,2.274935483932495,0.029044080418148432
PC,EGR1,AKI,0.023454167,400,0.20750341,0.4083859,2.4672832,-1.2303311675786972,1.2303311675786972,0.028856392606697034
PC,RPLP1,AKI,0.0053067044,400,13.023561,14.995093,21.814785,-5.381378650665283,5.381378650665283,0.02855738595457713
PC,SCNN1B,AKI,0.037013654,400,1.0986209,1.549682,2.1636105,-0.7580253481864929,0.7580253481864929,0.02805728770765792
PC,SRSF3,AKI,0.03168453,400,0.91468537,1.2275946,2.3422542,-0.8702390193939209,0.8702390193939209,0.02757311347849356
PC,RPL21,AKI,0.008070049,400,4.564478,6.0533056,9.729547,-3.3269481658935547,3.3269481658935547,0.026848634307034658
PC,PTMA,AKI,0.005627617,400,7.816768,10.818688,14.354235,-4.769693374633789,4.769693374633789,0.026842006443312805
PC,RPS18,AKI,0.004427734,400,11.342794,14.31429,20.07907,-5.853885173797607,5.853885173797607,0.025919445427442955
PC,TSPAN1,AKI,0.026756488,400,3.711449,3.2400522,2.2553685,0.9637385606765747,0.9637385606765747,0.02578625902838194
PC,KRTCAP2,AKI,0.04703156,400,0.5464779,0.97483695,1.2125236,-0.5472023487091064,0.5472023487091064,0.025735779575656537
PC,CHGB,AKI,0.019795662,400,0.14854036,0.4200688,2.4606,-1.2917939871549606,1.2917939871549606,0.025571916874864292
PC,SLPI,AKI,0.017631438,400,2.7603393,2.1259892,0.49794748,1.4483709186315536,1.4483709186315536,0.02553686151617779
