epoch,train_loss,train_recon_loss,train_cls_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_recon_loss,val_cls_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,2.289357939668089,0.9437772945144999,0.8970537470596608,0.6018641810918774,0.5719192645457049,0.5719413959346004,1.7193395018353077,0.8846451953306036,0.5564628717140514,0.7645951035781544,0.7631060552797124,0.7631060552797123
2,1.4291710672619815,0.8685830607712666,0.373725333678897,0.8691744340878829,0.8682654662692234,0.8682592558526893,1.5275605205313185,0.8581390617706457,0.4462809694015374,0.8248587570621468,0.8254429560332541,0.8254429560332541
3,1.0879990798179382,0.8466857986031138,0.16087552355465973,0.9494007989347537,0.949312661175529,0.9493086042804982,1.6506115900819136,0.8326486343493344,0.5453086450499555,0.8248587570621468,0.8267923300015726,0.8267923300015726
4,1.024541445959424,0.8358980365663012,0.12576228063727188,0.9580559254327563,0.958070570090222,0.958067674904967,1.722184850222198,0.8638121489077638,0.5722484723322809,0.8097928436911488,0.8093314459930313,0.8093314459930313
5,0.9735103393204203,0.8265197175479284,0.09799375252106218,0.9677097203728362,0.9676782243948138,0.9676761741338235,1.676202493423347,0.8159335647374673,0.5735126177020891,0.8342749529190208,0.8352819620229045,0.8352819620229045
6,0.9323831212504726,0.8202257294470715,0.07477159647347924,0.9750332889480693,0.9750523392489442,0.9750498628887625,1.7387599653218875,0.8255029927988285,0.6088379871822795,0.8229755178907722,0.8245285959170952,0.8245285959170953
7,0.9324250876030497,0.8177081187777767,0.07647798260978948,0.9770306258322237,0.9770154459068423,0.9770144507431003,1.7556992055332594,0.8021646300278141,0.6356897512398197,0.815442561205273,0.817702912707842,0.817702912707842
8,0.9018133492984086,0.81299954525799,0.05920920797317387,0.978029294274301,0.9780398369993698,0.9780390682652431,1.8698057845487432,0.8062915817716926,0.7090094548609747,0.8192090395480226,0.8211902304781562,0.8211902304781562
9,0.8727300420264589,0.8077940007500579,0.04329069536154502,0.9860186418109188,0.9860224170294004,0.9860219076516019,1.8670106014962924,0.7994390714864498,0.7117143308151015,0.8286252354048964,0.8294702206536598,0.8294702206536598
10,0.8712649027929801,0.7963164965417509,0.049965598988787,0.9820239680426098,0.9820176323212605,0.9820171368398588,1.9466702278051,0.7958342344298426,0.7672240237956217,0.8267419962335216,0.8274349324744307,0.8274349324744307
11,0.855158142814941,0.7949185998398518,0.04015969271869579,0.9850199733688415,0.9850184284867994,0.9850179421752459,1.8835329129422003,0.7954595872462357,0.7253822027626684,0.8305084745762712,0.8316312844446928,0.8316312844446927
12,0.8431857943376116,0.7903272357190179,0.03523903948003141,0.9866844207723036,0.9866889243469945,0.9866876963428843,1.9207572865171845,0.7862120347058931,0.7563635375764635,0.8267419962335216,0.827444571765362,0.8274445717653621
