cell_type,original_AKI,original_CKD,original_Ref,sampled_AKI,sampled_CKD,sampled_Ref,balanced_total,balance_reason
PT,8304,11886,5183,5183,5183,5183,15549,Ref count used
TAL,8930,11319,3645,3645,3645,3645,10935,Ref count used
IMM,8819,6884,1473,1473,1473,1473,4419,Ref count used
EC,1915,3905,2730,1915,1915,1915,5745,minimum condition count used
IC,1110,5023,2201,1110,1110,1110,3330,minimum condition count used
PC,2025,4632,826,826,826,826,2478,Ref count used
CNT,1583,2705,2171,1583,1583,1583,4749,minimum condition count used
DCT,824,2694,1806,824,824,824,2472,minimum condition count used
