cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
PT,PAWR,AKI,0.051698018,400,0.36063978,0.28444466,0.16538979,0.1357225552201271,0.1357225552201271,0.0070165870845105005
PT,MMP24OS,AKI,0.01717809,400,0.86440974,0.5293291,0.38315868,0.408165842294693,0.408165842294693,0.007011509691919937
PT,CLTRN,AKI,0.012341684,400,1.4829001,1.2298739,0.6031223,0.5664020478725433,0.5664020478725433,0.006990354939140853
PT,B4GALT1,AKI,0.025342679,400,0.6509475,0.5758661,0.17446329,0.2757828161120415,0.2757828161120415,0.006989075286254212
PT,DDX17,AKI,0.014477449,400,1.4575422,1.2083424,0.7468389,0.47995150089263916,0.47995150089263916,0.006948473154883006
PT,UBL5,AKI,0.010698315,400,3.6257775,3.2428217,2.7139356,0.647398829460144,0.647398829460144,0.0069260764503309424
PT,IVNS1ABP,AKI,0.039938614,400,0.4520402,0.29766572,0.2602648,0.17307493090629578,0.17307493090629578,0.0069123728191500255
PT,SEC61B,AKI,0.012701605,400,2.0365915,1.5048175,1.4803647,0.5440004467964172,0.5440004467964172,0.006909679038002159
PT,CCT4,AKI,0.04792701,400,0.5382673,0.42353263,0.36491442,0.14404378831386566,0.14404378831386566,0.0069035881988274705
PT,STOML2,AKI,0.06281302,400,0.5783601,0.46824524,0.46905968,0.10970762372016907,0.10970762372016907,0.0068910672992121835
PT,REX1BD,AKI,0.022051223,400,0.59612775,0.36389515,0.20605038,0.3111549839377403,0.3111549839377403,0.006861347820878716
PT,CBR1,AKI,0.035283733,400,0.7050945,0.54338646,0.4793154,0.19374358654022217,0.19374358654022217,0.006835997008811656
PT,KTN1,AKI,0.03238802,400,0.8649196,0.7723135,0.5381801,0.20967280864715576,0.20967280864715576,0.006790887184253247
PT,H2AFV,AKI,0.034283258,400,0.6213889,0.4436423,0.40339592,0.19786980748176575,0.19786980748176575,0.006783621664438799
PT,COL4A2,AKI,0.023114478,400,0.6698938,0.54281324,0.21098557,0.2929943948984146,0.2929943948984146,0.006772412558165047
PT,BHMT,AKI,0.014724758,400,1.2570205,1.3673589,2.0650277,-0.4591728448867798,0.4591728448867798,0.006761209229441012
PT,MYH9,AKI,0.0252414,400,0.53073114,0.33312348,0.1931066,0.2676161006093025,0.2676161006093025,0.00675500482350995
PT,MRPL13,AKI,0.0308893,400,0.5986355,0.4168854,0.34364384,0.21837086975574493,0.21837086975574493,0.0067453234446098465
PT,G0S2,AKI,0.016616223,400,0.34821635,0.71616125,0.79212683,-0.4059276878833771,0.4059276878833771,0.006744985137984771
PT,WDR83OS,AKI,0.018489959,400,1.3828179,1.1692032,0.86788726,0.3642726540565491,0.3642726540565491,0.006735386335754545
PT,ST13,AKI,0.05972864,400,1.7048542,1.7363025,1.8988968,-0.11274540424346924,0.11274540424346924,0.006734129781558185
PT,RPS11,AKI,0.016721439,400,2.8012645,2.3826334,2.4158282,0.4020336866378784,0.4020336866378784,0.0067225816128861915
PT,MRPL54,AKI,0.026937235,400,0.8971479,0.6157758,0.68014026,0.2491898536682129,0.2491898536682129,0.0067124856844476
PT,GNG12,AKI,0.03491872,400,0.60432744,0.416424,0.4089584,0.19163623452186584,0.19163623452186584,0.006691692353414935
PT,SCD5,AKI,0.05388544,400,0.2522327,0.1513041,0.10512274,0.12401928380131721,0.12401928380131721,0.006682833834051313
PT,SNRNP70,AKI,0.028221346,400,0.59099317,0.42740253,0.28105494,0.23676443099975586,0.23676443099975586,0.0066818110314237344
PT,HNRNPH1,AKI,0.017386174,400,1.5818907,1.7190782,0.676679,0.3840121030807495,0.3840121030807495,0.006676501176769323
PT,SDC4,AKI,0.017282747,400,1.128501,0.8704015,0.61573374,0.3854334354400635,0.3854334354400635,0.0066613484468458495
PT,UQCR11.1,AKI,0.009547511,400,0.23562308,0.7436226,1.1199785,-0.6961774975061417,0.6961774975061417,0.006646762395919353
PT,TMEM167A,AKI,0.042361546,400,0.5413964,0.4328992,0.3372266,0.15633347630500793,0.15633347630500793,0.006622527795954292
PT,ACAT1,AKI,0.0259916,400,1.1530447,1.278896,1.5362451,-0.2545258402824402,0.2545258402824402,0.006615533832020626
