latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31,latent_32,cell_type,condition
2.395002,-0.04918295,-0.7974027,-2.0857453,1.7133397,-2.8379064,-1.407974,-0.55615205,-0.4106069,-1.3577837,1.3392515,1.7788694,1.4189346,2.0592773,-1.2872488,0.81811917,-0.39830256,0.9980454,0.19833633,2.674237,-0.70002913,-0.93141484,-0.75607663,1.4367573,1.0320888,1.4132333,1.3760157,-1.9559287,-1.13731,-1.9497896,1.3897117,-0.82235533,DCT,CKD
2.6009395,0.53516805,-1.0977677,-2.2604191,1.8740858,-2.6408668,-1.2935232,-0.9140009,-0.25511044,-1.5518957,1.4683574,1.8857188,1.3939946,2.233569,-1.544693,1.1547529,-0.4879953,1.1303715,0.45092306,2.9295318,-0.88906103,-1.271658,-1.19757,1.7972126,0.99711883,1.5648476,1.4255265,-1.8427392,-1.0952312,-2.2909634,1.7628458,-0.54425913,DCT,CKD
-0.36912498,-0.9588927,0.699537,-0.7783265,0.06167295,0.361574,1.0637393,1.3115746,1.4929594,-0.4400516,-0.2937403,-1.3481807,1.4507892,-0.85730207,1.8211976,-1.240612,1.4192697,-1.780358,1.275426,-1.5513968,-1.5417961,2.199591,-1.3210559,0.16673392,1.6450597,-0.32844064,-1.2511292,-1.2019416,-0.37170637,1.4103793,-1.4595898,-1.1663306,DCT,AKI
1.609896,-1.0069562,2.1781852,-1.7807326,-2.5992353,-0.97461927,2.9322183,2.6235585,-3.1636348,1.5343478,-2.8670435,2.4009314,-1.4619576,2.7602773,-0.6627291,0.7859265,-1.7763187,2.5827367,-2.5078259,0.7515664,2.2304354,0.39041567,0.6955833,-2.2295938,2.9166522,-0.45749697,-1.445056,-1.0073072,3.150713,0.30303812,0.074853405,-0.22296149,DCT,Ref
-1.0037221,-2.7681332,1.3327029,-1.3214657,0.41084692,-1.1727684,-1.3714141,2.1585016,2.3057327,-0.99691826,1.8381511,-3.3046064,3.898899,-1.6945415,2.6234696,-3.3618345,3.1175346,-3.2720962,0.7697911,-2.464817,-2.7278657,3.6337385,-1.224188,0.5506468,1.2077718,0.1482089,-0.5309143,-3.680653,-2.2408016,2.3678713,-3.292316,-3.24683,DCT,AKI
-1.7748002,-2.285121,2.5038257,-1.8230062,-1.1392918,1.5970232,2.2404191,2.498172,1.8418874,-0.2801885,-0.8400361,-3.35039,1.7144825,-1.0790511,4.1491013,-2.0084105,3.4483907,-3.1203008,2.1170142,-3.3673108,-3.5755942,4.8261895,-1.6441971,0.311986,3.628815,-1.2784753,-2.5794168,-2.0219393,-0.39849168,3.3100743,-3.3509197,-2.7774951,DCT,AKI
1.7636992,-0.7925352,1.7593554,-1.5671513,-2.0230274,-1.0938718,2.6151311,2.1795492,-3.086865,1.2104731,-2.483004,2.4687293,-1.4536364,2.5287528,-1.0331845,0.98322695,-1.9681897,2.6335118,-2.704759,0.9866858,2.3585978,-0.017258212,0.6494611,-1.973053,2.57199,-0.26953042,-1.1234015,-0.9456817,2.7448616,0.005557043,0.46749356,0.01541465,DCT,Ref
2.634436,-0.958407,1.8208356,-2.81727,-3.1110408,-0.8434449,3.539267,2.6331458,-3.4513972,0.34278682,-2.7906532,3.5013268,-2.2920048,2.231232,-0.91526073,1.6040177,-2.1573653,2.8468628,-3.6111536,1.6613765,2.9847372,-0.47774798,0.21207416,-2.3502984,3.4127169,0.09806688,-1.261732,-1.148574,3.825533,0.28014708,0.48323387,0.71661186,DCT,Ref
3.0757847,1.578418,-1.5617484,-3.186165,2.3103216,-2.3510482,-1.2157851,-1.3851355,0.25233075,-2.1623907,1.8609126,2.0172136,2.0413258,2.8401494,-1.8477329,1.8672571,-0.34967873,1.3853714,1.2083031,3.4066954,-1.541496,-1.8124831,-2.0602148,2.4360585,1.1346451,2.2641,1.2602774,-1.9580247,-1.2433717,-3.0294843,2.6046002,-0.46906948,DCT,CKD
-0.07812975,-0.6447075,0.8042013,-0.6194339,-0.25229958,-0.17783019,-0.0032991432,0.8120888,-0.022215094,-0.27903286,-0.008172283,-1.1762856,0.7998669,-0.22344048,0.99018854,-0.69663894,1.365514,-0.9985233,0.088857055,-1.1309972,-1.2119474,1.1607579,-0.27094305,0.35880142,0.8226534,-0.036721822,-0.2010746,-1.0245925,-0.35679162,0.50674117,-0.7888408,-1.2019,DCT,AKI
1.656141,0.7804268,-1.3590403,-2.4906151,1.9775925,-1.9438868,-1.7894404,-1.379808,0.82361025,-2.0862138,2.1199937,0.4354986,2.4176092,1.4196699,-0.2941074,0.49389812,0.58160037,0.031008145,1.3788588,1.8893923,-1.9368863,-0.4407807,-1.8127474,2.069296,0.58889145,1.8936343,0.7954327,-2.0320776,-1.9006008,-1.9518126,0.9139101,-1.1633744,DCT,CKD
2.1617262,1.4299067,-1.6265172,-2.6006482,2.0555863,-1.7733796,-1.375393,-1.4614913,0.5772462,-2.0404453,1.8676357,0.9944158,2.1669395,2.0068138,-0.87861603,1.1854495,0.10774405,0.6092038,1.3937434,2.4606628,-1.7565391,-1.160018,-1.9904643,2.2597654,0.66549504,2.0431402,0.9555439,-1.8292123,-1.4998741,-2.4523976,1.7410536,-0.7121292,DCT,CKD
-0.46810335,-2.037608,0.7275474,-1.3198285,0.8686883,-1.4398592,-1.5591023,1.2904526,1.5343251,-1.0646622,1.740058,-2.2859368,3.2551405,-0.90619,1.7794417,-2.41443,2.4231136,-2.3784556,0.59764415,-1.2860224,-2.2529335,2.5395668,-0.96546805,0.8233956,0.99318975,0.45125276,-0.096144244,-3.15742,-2.00557,1.2985662,-2.3550615,-2.589315,DCT,AKI
1.922986,-0.23086752,-0.9041935,-2.2518406,2.0556633,-2.7053578,-2.0427523,-0.67095697,0.2245399,-1.6656142,1.9746896,0.8836787,2.218243,1.5487773,-0.62695694,0.36594355,0.45082498,0.26817748,0.7175123,2.2527926,-1.4732454,-0.4534576,-1.0474865,1.8019177,0.8820436,1.6466372,1.2808688,-2.339314,-1.7636474,-1.7234734,0.74101335,-1.3389965,DCT,CKD
