epoch,train_loss,train_recon_loss,train_cls_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_recon_loss,val_cls_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,2.202597702349875,0.8499897385654517,0.9017386204783571,0.6033568904593639,0.6093648725486044,0.609322045504145,1.6413900089263915,0.7406034541130065,0.6005243635177613,0.81,0.8128646854239462,0.8131052509831136
2,1.3510340662811333,0.7283610065497274,0.4151153710832023,0.8652826855123675,0.8648736597170785,0.8648364538543295,1.272352819442749,0.7333527874946594,0.35933333277702334,0.855,0.8565747211296529,0.8568363851020225
3,1.0022686296554,0.7060579777606385,0.197473772949549,0.9275618374558304,0.9278884436826308,0.9278669607418563,1.3206516647338866,0.7333132457733155,0.3915589439868927,0.83,0.8231594634873324,0.8234470193740685
4,0.8743090890742865,0.6903967545647504,0.12260822314676885,0.9575971731448764,0.9575609909774876,0.9575507007412549,1.346892795562744,0.6856071758270263,0.4408570718765259,0.845,0.8427817579033924,0.8430694395239595
5,0.811166687272884,0.6835146409462703,0.08510135769738747,0.973939929328622,0.9739700932259917,0.9739644851988535,1.112872133255005,0.676535005569458,0.2908914077281952,0.91,0.9104962887006866,0.9106437121010722
6,0.8339017528527196,0.6779894348589355,0.10394154457447807,0.9624558303886925,0.9624334328499816,0.9624267590426587,1.461138813495636,0.6859760951995849,0.5167751455307007,0.8575,0.859016414870018,0.8591178698167786
7,0.8122180496003518,0.6764032543758621,0.0905431964477465,0.9708480565371025,0.9709042243382088,0.9708978510568504,1.2051705265045165,0.6865514230728149,0.3457460781931877,0.8875,0.8887879480675857,0.8889496991276493
8,0.7954911473783082,0.6730938669649535,0.08159819042619462,0.9681978798586572,0.968218558080026,0.9682097995770733,1.3939754700660705,0.6750443315505982,0.4792874385416508,0.8575,0.8566496294818023,0.8569140204456919
9,0.7972571611825653,0.6707759619601624,0.08432079476465607,0.9748233215547704,0.9748640085078059,0.9748573200565174,1.0886292505264281,0.6552727222442627,0.28890434607863424,0.9175,0.9171712909193402,0.9172566398455999
10,0.733131854778465,0.6629721160069793,0.046773158606181295,0.9854240282685512,0.9854273406655238,0.9854238329978562,1.0780583691596985,0.6598091745376586,0.27883278965950015,0.9225,0.9227341171460295,0.9228515242774068
11,0.7302980764173366,0.6587248311868404,0.047715496436393307,0.9818904593639576,0.9818954991368786,0.9818904314685355,1.094727544784546,0.6591408491134644,0.29039115011692046,0.9075,0.9068082263731444,0.9069389753239402
12,0.7448611545899732,0.656523329209102,0.05889188012522859,0.9779151943462897,0.9779215901177194,0.977914767189209,1.2581240367889404,0.6539606356620788,0.40277561083436014,0.8875,0.8872112570118443,0.887418602003643
13,0.742896634361348,0.6574410992039388,0.056970350799733255,0.9796819787985865,0.9796678757805671,0.9796612321768,1.0928239798545838,0.6568282079696656,0.2906638289988041,0.92,0.9203879608399753,0.9204900917130692
14,0.7199162729216128,0.652964282372815,0.04463465772108455,0.9836572438162544,0.9836710115787174,0.9836685042796718,1.2545561504364013,0.6596051716804504,0.39663398563861846,0.9075,0.9075800780397408,0.9076380509215646
15,0.7255874945923634,0.6533088391324235,0.0481857746023382,0.9810070671378092,0.9810168907083506,0.9810149669231398,1.4213884234428407,0.6782029509544373,0.4954569814354181,0.8675,0.8687925204045515,0.868967867347815
16,0.7294785934286488,0.6531281212193385,0.050900312936979976,0.9845406360424028,0.9845530331919891,0.9845491432359086,1.221208107471466,0.7027257132530212,0.34565493956208226,0.9125,0.9119418024449057,0.912068664356704
17,0.7077442561358529,0.648087577558659,0.0397711143476803,0.9858657243816255,0.9858630845650144,0.9858600601305285,1.202434356212616,0.6541483664512634,0.3655239833239466,0.915,0.9155111925553983,0.9156162369678321
