cell_type,gene,variance,variance_rank
IC,CLU,53.15314693511814,172
IC,TMA7,52.87749630061334,173
IC,ATP5L,52.84642515811737,174
IC,NDUFA1,52.66938702658028,175
IC,JUND,52.56282307744248,176
IC,UBA52,52.06846320836394,177
IC,COX5A,50.45024826507919,178
IC,ATP6V1G3,50.0780106200009,179
IC,RPL27,49.79177044458321,180
IC,RPL38,48.84753825123696,181
IC,SAT1,48.49364298234413,182
IC,H3F3B,48.05484974034286,183
IC,RPL23A,47.8072589649988,184
IC,H3F3A,47.482332409186384,185
IC,JUN,47.06340920276759,186
IC,HINT1,46.7970738727461,187
IC,TXNIP,46.48066193095091,188
IC,UBB,46.409486310892746,189
IC,IER3,45.923368368990296,190
IC,NDUFS5,44.88100959668276,191
IC,ATP6V1F,44.17633115668521,192
IC,ATP5MC2,43.95841873313914,193
IC,SKP1,43.564848113639336,194
IC,HSPE1,43.44142193278207,195
IC,ATP5G3,43.41025586170102,196
IC,NEAT1,43.405590523630956,197
IC,GPX4,42.97211658118814,198
IC,JUNB,42.227593805904725,199
IC,PRDX5,41.8136916649009,200
IC,ATP5F1B,41.23784626047324,201
IC,EPCAM,40.546689709966344,202
IC,MYL12B,40.51809472507478,203
IC,DBI,39.64314096499114,204
IC,HLA-C,39.59148756006864,205
IC,OST4,39.448973167934874,206
IC,ATP6V0E1,38.53309414997888,207
IC,PRDX1,37.597474159974524,208
IC,MGST3,37.51009210110513,209
IC,USMG5,37.291414488268394,210
IC,CYB5A,37.18552830630387,211
IC,CYCS,36.267688431920256,212
IC,RPLP2,35.95685842882226,213
IC,RARRES3,35.77438722622351,214
IC,ATP1A1,35.43277393854995,215
IC,SLC25A6,35.18676956327616,216
IC,RPSA,34.91223472495422,217
IC,MINOS1,34.61279566716131,218
IC,EIF3K,34.26389314829193,219
IC,MT1X,33.65370337949021,220
IC,KRT19,33.4845995923513,221
IC,CA12,32.98640061847713,222
IC,NDUFA13,32.87894065249171,223
IC,ATP5J,32.767137577352976,224
IC,RNASEK,32.708324150133976,225
IC,COX7A1,32.58101235745755,226
IC,ATP5PO,32.348297739819174,227
IC,SLC25A3,32.17142668815988,228
IC,TOMM7,31.80101549212948,229
IC,CA2,31.560698001006664,230
IC,GNB2L1,30.502460886169025,231
IC,TMEM59,30.423743443039818,232
IC,NDUFC2,29.659411930495935,233
IC,UQCR11.1,29.58523816026983,234
IC,ATP5MC1,29.488136327327936,235
IC,CD81,29.46163703629737,236
IC,SPARCL1,29.39385930018281,237
IC,RPL7,29.347571302887136,238
IC,DYNLL1,29.307664019593837,239
IC,SLC4A1,29.306315067228283,240
IC,ATP5MPL,29.260919333787314,241
IC,NDUFB1,28.947878639528966,242
IC,DUSP1,28.66358406160063,243
IC,MRPL33,28.481753914251122,244
IC,ATP5D,28.422930910389532,245
IC,STC1,28.420400995908356,246
IC,GNAS,27.866648571709558,247
IC,RPL27A,27.463703834475922,248
IC,HSPB1,27.36025224242418,249
IC,KRT8,27.11929547132444,250
IC,ATP5I,27.069049759503734,251
IC,TMEM52B,26.892033682322705,252
IC,PEBP1,26.861030839454106,253
IC,ATP5IF1,26.83401579869458,254
IC,ELOB,26.76647762423556,255
IC,UBC,26.690778105538193,256
IC,CST3,26.6568646040175,257
IC,AQP3,26.56484882012615,258
IC,EEF1B2,26.317824202287326,259
IC,RPL36AL,26.121958108409874,260
IC,LCN2,25.657883123308146,261
IC,COMMD6,25.3619968357312,262
IC,ATP5PD,25.006675111332832,263
IC,NDUFA3,24.580073279987086,264
IC,TMEM101,23.819349910674674,265
IC,CEBPD,23.735398116709206,266
IC,NDUFC1,23.658278507054575,267
IC,NDUFB7,23.62008368523465,268
IC,SLC8A1,23.027166585616822,269
IC,PRDX2,22.965735226405073,270
IC,RPS16,22.82379764727257,271
IC,BTF3,22.559963749191038,272
IC,HSPA8,22.549563244356257,273
IC,NDUFB11,22.487315501446982,274
IC,ATP5MF,22.36565902908704,275
IC,ATP5G2,22.335303899482934,276
IC,HERPUD1,22.29982477489324,277
IC,WNK1,22.24754312388017,278
IC,PFN1,22.223875890326436,279
IC,TPI1,22.02642831619954,280
IC,HLA-A,21.832678648780004,281
IC,DHRS7,21.8192098144251,282
IC,ADGRF5,21.542799765257065,283
IC,OAZ1,21.414473421596558,284
IC,ZFP36,21.326586353185238,285
IC,POLR2L,21.249521249535217,286
IC,EDF1,21.09291963314579,287
IC,CFL1,20.91877139492795,288
IC,CDH16,20.814846869672024,289
IC,MPC1,20.239387700962432,290
IC,EEF1D,20.099414818784034,291
IC,CD74,20.09620868431454,292
IC,ATP6V0D2,20.08106997908232,293
IC,TACSTD2,20.060813162814476,294
IC,ATP6V0C,20.037024081455463,295
