cell_type,gene,class,importance,n_cells_used_for_importance,mean_expr_AKI,mean_expr_CKD,mean_expr_Ref,target_minus_others_mean,abs_target_minus_others_mean,combined_score
IMM,RPLP0,CKD,0.037013255,400,2.4335723,1.9518996,2.0511487,-0.29046082496643066,0.29046082496643066,0.01075090059933892
IMM,FXYD2,CKD,0.01916159,400,0.38093072,1.1515924,0.8116362,0.5553089082241058,0.5553089082241058,0.010640601313810505
IMM,TNF,CKD,0.066005886,400,0.16984993,0.2887118,0.08607821,0.1607477143406868,0.1607477143406868,0.010610295243400625
IMM,NME2,CKD,0.03465176,400,0.22893105,0.4353419,0.029755004,0.30599886551499367,0.30599886551499367,0.01060339925174271
IMM,JUN,CKD,0.026710235,400,2.172822,2.255257,1.5559883,0.3908517360687256,0.3908517360687256,0.010439741557343396
IMM,AES,CKD,0.053472485,400,0.65517634,0.4911684,0.71445286,-0.19364619255065918,0.19364619255065918,0.010354743202630523
IMM,ATP5E,CKD,0.041446503,400,0.2674533,1.0784279,2.3850715,-0.24783450365066528,0.24783450365066528,0.010271873561463307
IMM,PCED1B-AS1,CKD,0.0780196,400,0.075202785,0.16732797,0.0,0.1297265775501728,0.1297265775501728,0.010121215253471566
IMM,RARRES3,CKD,0.031292364,400,0.5626447,0.31293908,0.7051168,-0.320941686630249,0.320941686630249,0.0100430240812166
IMM,UQCRH,CKD,0.038108613,400,1.0963413,0.8522883,1.131603,-0.2616838216781616,0.2616838216781616,0.00997240757820217
IMM,CYTIP,CKD,0.04471344,400,0.22599106,0.24383754,0.70136374,-0.21983986347913742,0.21983986347913742,0.009829796827229592
IMM,RPS5,CKD,0.014876113,400,3.876592,3.5968688,4.6257815,-0.6543179750442505,0.6543179750442505,0.009733708313451328
IMM,RPL32,CKD,0.0057272827,400,13.253255,13.069865,16.2169,-1.6652121543884277,1.6652121543884277,0.00953714080574608
IMM,RPL35,CKD,0.009697522,400,6.3508472,6.014586,7.632459,-0.977067232131958,0.977067232131958,0.009475131014967664
IMM,RPL3,CKD,0.005217773,400,7.984446,7.205504,10.054462,-1.8139503002166748,1.8139503002166748,0.00946478073385193
IMM,NACA,CKD,0.008026106,400,4.4048476,4.1143265,6.143302,-1.1597483158111572,1.1597483158111572,0.009308263244310222
IMM,PPDPF,CKD,0.0347075,400,1.0333766,0.80093586,1.1048048,-0.2681547999382019,0.2681547999382019,0.009306983129305557
IMM,C1QB,CKD,0.0144141745,400,1.56657,0.7793115,1.2682356,-0.6380913257598877,0.6380913257598877,0.009197559705098168
IMM,RPS13,CKD,0.006865241,400,7.478546,7.158767,9.471586,-1.3162989616394043,1.3162989616394043,0.009036709730213976
IMM,DUSP2,CKD,0.02208553,400,0.42339313,0.33547875,1.063372,-0.4079038202762604,0.4079038202762604,0.009008772338586712
IMM,STK17B,CKD,0.043019757,400,0.32040763,0.34622806,0.77877116,-0.20336133241653442,0.20336133241653442,0.008748555037615624
IMM,GSTP1,CKD,0.02007323,400,2.1700752,1.5878905,1.8745084,-0.434401273727417,0.434401273727417,0.008719836439602613
IMM,S100A6,CKD,0.016817773,400,6.5929265,5.8768067,6.1845274,-0.5119202136993408,0.5119202136993408,0.008609357825751562
IMM,HLA-DPA1,CKD,0.007726704,400,4.8062115,5.7120895,8.827767,-1.1048998832702637,1.1048998832702637,0.008537234094043722
IMM,CST3,CKD,0.010885251,400,5.5662923,5.5703855,7.139315,-0.7824182510375977,0.7824182510375977,0.008516818857562392
IMM,UBC,CKD,0.012268713,400,1.8244193,1.7461082,3.047898,-0.690050482749939,0.690050482749939,0.008466031151798115
IMM,HLA-DRA,CKD,0.0075154435,400,10.116427,11.839901,15.8053875,-1.1210064888000488,1.1210064888000488,0.008424860917329191
IMM,CLIC1,CKD,0.02048967,400,1.6649282,1.362418,1.8597435,-0.3999177813529968,0.3999177813529968,0.008194183501526009
IMM,SNHG29,CKD,0.02753088,400,0.25863105,0.4255425,0.0,0.29622697830200195,0.29622697830200195,0.008155389583436978
IMM,KRTCAP2,CKD,0.066535346,400,0.37662038,0.52144,0.42815778,0.11905094981193542,0.11905094981193542,0.007921096162366803
IMM,SAMSN1,CKD,0.038166717,400,0.19875015,0.17103548,0.5540516,-0.2053653821349144,0.2053653821349144,0.00783812235886916
IMM,CD163,CKD,0.032454334,400,0.20076421,0.11850165,0.51800585,-0.24088338017463684,0.24088338017463684,0.007817709723275668
IMM,COX6B1,CKD,0.025858939,400,1.5599104,1.2691278,1.5740291,-0.2978419065475464,0.2978419065475464,0.007701875601917152
IMM,RPL34,CKD,0.004495316,400,11.208251,11.473498,15.145638,-1.703446388244629,1.703446388244629,0.007657530119453249
IMM,ACTG1,CKD,0.009404961,400,3.9823115,3.1676755,3.970537,-0.808748722076416,0.808748722076416,0.007606250205904885
IMM,FKBP5,CKD,0.020548234,400,0.11599637,0.10217023,0.82464546,-0.3681506849825382,0.3681506849825382,0.00756484633480279
IMM,SLA,CKD,0.03268411,400,0.17739744,0.15484297,0.5894835,-0.2285974994301796,0.2285974994301796,0.00747150584111228
IMM,CD247,CKD,0.04503777,400,0.2784186,0.1906974,0.43224907,-0.16463643312454224,0.16463643312454224,0.007414857608022185
