epoch,train_loss,train_recon_loss,train_cls_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_recon_loss,val_cls_loss,val_accuracy,val_macro_f1,val_weighted_f1
1,2.2909054897743277,0.9115300828374197,0.9195836013682948,0.582541567695962,0.5646516235406227,0.5646616695574131,1.8097416490516407,0.7863643685443289,0.6822515458068592,0.8355704697986577,0.8363296032581718,0.8360835501611539
2,1.572487438093172,0.7768945137565323,0.5303952727918104,0.834916864608076,0.8327728640621525,0.8327225868629505,1.4669734631608797,0.7885249281089578,0.45229900783340404,0.8053691275167785,0.803444628003362,0.8033194078834114
3,1.155465558419035,0.7458438277244568,0.2730811524631858,0.9109263657957245,0.9109695144702731,0.9109445941469754,1.1786798102743674,0.7763285800914637,0.2682341257197745,0.8926174496644296,0.8916354671505463,0.8915732556725261
4,0.9249016445776063,0.7304723442591851,0.12961953696120096,0.9542755344418052,0.9543078169673626,0.9542963358634395,1.2876909771221596,0.755866404747803,0.3545497119826758,0.8691275167785235,0.8693785682916118,0.8692982863357828
5,0.8438947367838047,0.7221994615224082,0.08113018743640736,0.9768408551068883,0.9768428177019234,0.9768364213900882,1.4284302652282204,0.7502790969490205,0.45210080018779575,0.8389261744966443,0.8422004325691784,0.842051485505692
6,0.8587141053976752,0.7159801793778028,0.09515595432556723,0.9691211401425178,0.9691408235892222,0.9691337894740656,1.9689147744402788,0.7674878423645992,0.8009513192528847,0.825503355704698,0.8272668502196286,0.8271243779926576
7,0.8708136251590031,0.7130050090033199,0.10520574089467101,0.9596199524940617,0.9597453851847839,0.9597362116082063,1.353881773532637,0.735607545247814,0.41218283032410896,0.8691275167785235,0.8708435933679136,0.8707203706477152
8,0.8324812274081124,0.709488132362411,0.08199539430209407,0.9726840855106889,0.9726178306844299,0.9726110245368912,1.2940444682268488,0.731884285107555,0.37477346534697004,0.8691275167785235,0.8711582945251287,0.8710341755981026
9,0.7945740125241585,0.7052558626528307,0.059545434078958216,0.9798099762470309,0.9798436659550386,0.9798381854085366,1.512419373397059,0.7325129060937254,0.5199376292676734,0.8422818791946308,0.8449889654361346,0.8448455792669048
10,0.8053996432705334,0.7035755727466665,0.06788271141068174,0.9756532066508313,0.97566919060996,0.9756630894597127,1.7021948443163162,0.7335297765347781,0.6457767162547016,0.8322147651006712,0.8345562950572584,0.8343937812068315
